ETYPE,FREQ,EVENT
   HIGH SURF ADVISORY,1,SURF
 COASTAL FLOOD,1,FLOOD
 FLASH FLOOD,1,FLOOD
 LIGHTNING,1,LIGHTNING
 TSTM WIND,4,WIND
 TSTM WIND (G45),1,WIND
 WATERSPOUT,1,TORNADO
 WIND,1,WIND
?,1,
ABNORMAL WARMTH,4,HEAT
ABNORMALLY DRY,2,DROUGHT
ABNORMALLY WET,1,HEAVY RAINS
ACCUMULATED SNOWFALL,4,WINTER WEATHER
AGRICULTURAL FREEZE,6,WINTER WEATHER
APACHE COUNTY,1,
ASTRONOMICAL HIGH TIDE,103,SURF
ASTRONOMICAL LOW TIDE,174,ASTRONOMICAL LOW TIDE
AVALANCE,1,AVALANCHE
AVALANCHE,386,AVALANCHE
BEACH EROSIN,1,FLOOD
BEACH EROSION,3,FLOOD
Beach Erosion,1,FLOOD
BEACH EROSION/COASTAL FLOOD,1,FLOOD
BEACH FLOOD,2,FLOOD
BELOW NORMAL PRECIPITATION,2,DROUGHT
BITTER WIND CHILL,1,WINTER WEATHER
BITTER WIND CHILL TEMPERATURES,3,WINTER WEATHER
BLACK ICE,14,WINTER WEATHER
Black Ice,3,WINTER WEATHER
BLIZZARD,2719,WINTER WEATHER
BLIZZARD AND EXTREME WIND CHIL,2,WINTER WEATHER
BLIZZARD AND HEAVY SNOW,1,WINTER WEATHER
Blizzard Summary,1,WINTER WEATHER
BLIZZARD WEATHER,1,WINTER WEATHER
BLIZZARD/FREEZING RAIN,1,WINTER WEATHER
BLIZZARD/HEAVY SNOW,2,WINTER WEATHER
BLIZZARD/HIGH WIND,1,WINTER WEATHER
BLIZZARD/WINTER STORM,1,WINTER WEATHER
BLOWING DUST,4,DUST STORM
BLOWING SNOW,12,WINTER WEATHER
Blowing Snow,3,WINTER WEATHER
blowing snow,2,WINTER WEATHER
BLOWING SNOW & EXTREME WIND CH,2,WINTER WEATHER
BLOWING SNOW- EXTREME WIND CHI,1,WINTER WEATHER
BLOWING SNOW/EXTREME WIND CHIL,1,WINTER WEATHER
BLOW-OUT TIDE,1,ASTRONOMICAL LOW TIDE
BLOW-OUT TIDES,1,ASTRONOMICAL LOW TIDE
BREAKUP FLOODING,1,FLOOD
BRUSH FIRE,3,WILDFIRE
BRUSH FIRES,1,WILDFIRE
COASTAL  FLOODING/EROSION,1,FLOOD
COASTAL EROSION,1,FLOOD
COASTAL FLOOD,650,FLOOD
Coastal Flood,6,FLOOD
COASTAL FLOODING,143,FLOOD
Coastal Flooding,38,FLOOD
coastal flooding,2,FLOOD
COASTAL FLOODING/EROSION,5,FLOOD
COASTAL STORM,8,TROPICAL STORM
Coastal Storm,2,TROPICAL STORM
COASTAL SURGE,2,STORM SURGE
COASTAL/TIDAL FLOOD,2,FLOOD
COASTALFLOOD,1,FLOOD
COASTALSTORM,1,TROPICAL STORM
COLD,72,WINTER WEATHER
Cold,10,WINTER WEATHER
COLD AIR FUNNEL,4,FUNNEL CLOUD
COLD AIR FUNNELS,2,FUNNEL CLOUD
COLD AIR TORNADO,1,TORNADO
Cold and Frost,6,WINTER WEATHER
COLD AND FROST,1,WINTER WEATHER
COLD AND SNOW,1,WINTER WEATHER
COLD AND WET CONDITIONS,1,WINTER WEATHER
Cold Temperature,2,WINTER WEATHER
COLD TEMPERATURES,4,WINTER WEATHER
COLD WAVE,3,WINTER WEATHER
COLD WEATHER,4,WINTER WEATHER
COLD WIND CHILL TEMPERATURES,6,WINTER WEATHER
COLD/WIND CHILL,539,WINTER WEATHER
COLD/WINDS,1,WINTER WEATHER
COOL AND WET,1,
COOL SPELL,1,WINTER WEATHER
CSTL FLOODING/EROSION,2,FLOOD
DAM BREAK,4,FLOOD
DAM FAILURE,1,FLOOD
DAMAGING FREEZE,6,WINTER WEATHER
Damaging Freeze,2,WINTER WEATHER
DEEP HAIL,1,HAIL
DENSE FOG,1293,FOG
DENSE SMOKE,10,WILDFIRE
DOWNBURST,2,WIND
DOWNBURST WINDS,2,WIND
DRIEST MONTH,1,DROUGHT
Drifting Snow,1,WINTER WEATHER
DROUGHT,2488,DROUGHT
DROUGHT/EXCESSIVE HEAT,13,HEAT
DROWNING,1,
DRY,9,DROUGHT
DRY CONDITIONS,6,DROUGHT
DRY HOT WEATHER,1,HEAT
DRY MICROBURST,186,WIND
DRY MICROBURST 50,1,WIND
DRY MICROBURST 53,1,WIND
DRY MICROBURST 58,2,WIND
DRY MICROBURST 61,1,WIND
DRY MICROBURST 84,1,WIND
DRY MICROBURST WINDS,5,WIND
